accuracy,f1,auc,precision,recall,specificity,#leaves,#nodes,#rules,max_depth,avg_depth,features_used,imbalanced,fit_time,predict_time,model,problem,timestamp
0.9836065573770492,0.9824561403508771,0.9848484848484849,0.9655172413793104,1.0,0.9696969696969697,3,5,2,2,1.6666666666666665,2,True,0.3546459674835205,0.008038997650146484,GOSDT,HEARTS,2024-05-25 14:09:17.303592
0.9136363636363637,0.6833333333333333,0.7816571130797291,0.8145695364238411,0.5885167464114832,0.9747974797479748,10,19,9,5,3.7,8,True,13.505581617355347,0.06928348541259766,GOSDT,MUSK,2024-05-25 14:10:50.216696
0.46923076923076923,0.46923076923076923,,,,,8,15,7,5,3.625,5,True,6.024590492248535,0.0,GOSDT,STUDENT,2024-05-25 14:10:56.588973
0.9846153846153847,0.9853886616014027,0.9840153452685422,0.9711981566820277,1.0,0.9680306905370843,4,7,3,3,2.25,3,True,1.5186944007873535,0.07191801071166992,GOSDT,MUSHROOM,2024-05-25 14:14:46.707678
0.703537841468876,0.6982680036463081,0.7041475835971072,0.6796805678793256,0.717900656044986,0.6903945111492281,2,3,1,1,1.0,1,False,2.8099896907806396,0.12900900840759277,GOSDT,BANK_MKT,2024-05-25 14:14:50.027730
0.823869610935857,0.8709055876685935,0.7844984030197444,0.8278388278388278,0.9186991869918699,0.6502976190476191,12,23,11,5,3.833333333333333,5,True,182.48505997657776,0.4697999954223633,GOSDT,MAGIC,2024-05-25 14:18:58.773601
0.6761363636363636,0.6752136752136753,0.6842208476667511,0.609254498714653,0.7571884984025559,0.6112531969309463,6,11,5,4,3.0,3,True,0.8668413162231445,0.032167673110961914,GOSDT,COMPAS,2024-05-25 14:19:10.239647
0.7677469135802469,0.7677469135802469,,,,,5,9,4,3,2.6,3,True,4.46058201789856,0.11244344711303711,GOSDT,NURSERY,2024-05-25 14:19:15.318172
0.9985,0.926829268292683,0.9992428066633013,0.8636363636363636,1.0,0.9984856133266027,3,5,2,2,1.6666666666666665,2,True,3.4146687984466553,0.1580045223236084,GOSDT,DEFAULT,2024-05-25 14:46:10.229832
0.8427759864885613,0.6249084249084249,0.7405240059032324,0.7359792924935289,0.5429662635264163,0.9380817482800485,7,13,6,4,3.1428571428571432,4,True,5.316837787628174,0.44237232208251953,GOSDT,ADULT,2024-05-25 14:48:34.520059
0.9861545332737829,0.9861545332737829,,,,,3,5,2,2,1.6666666666666665,1,True,1.6728031635284424,0.13165283203125,GOSDT,LAW,2024-05-25 14:58:47.180129
0.9155308903941892,0.9456892480453377,0.9022357352314849,0.9675981852836165,0.9247504938810067,0.8797209765819631,3,5,2,2,1.6666666666666665,2,True,22.72343111038208,140.26189374923706,GOSDT,SKINNONSKIN,2024-05-25 16:43:32.553425
